Date,Username,User tag,Content,Mentions,link
"2024-08-13,09:13:31",rayer43,#0,ياك؟,,
"2024-08-13,09:13:51",amiomeroff,#0,بون نرجعو كاين حليب شكاير,,
"2024-08-13,09:14:01",jovial_flamingo_95831,#0,خوني كيفاه نبعث فوط,,
"2024-08-13,09:14:01",amiomeroff,#0,تع الطنة,,
"2024-08-13,09:14:07",jovial_flamingo_95831,#0,معرفتش,,
"2024-08-13,09:14:34",jovial_flamingo_95831,#0,كيفاه خو,ak_miro#0,
"2024-08-13,09:15:57",amiomeroff,#0,الطنة,,
"2024-08-13,09:17:25",jovial_flamingo_95831,#0,تناكت بلاد,,
"2024-08-13,09:18:23",jovial_flamingo_95831,#0,واش هذا اسم,ak_miro#0,
"2024-08-13,09:18:55",jovial_flamingo_95831,#0,اسمع يخو,,
"2024-08-13,09:19:29",jovial_flamingo_95831,#0,هذا حلم تعو هوفا يهدر عليه في فيديو,,
"2024-08-13,09:20:35",jovial_flamingo_95831,#0,واش اسمك,,
"2024-08-13,09:21:12",jovial_flamingo_95831,#0,لله يبارك,ak_miro#0,
"2024-08-13,09:21:22",jovial_flamingo_95831,#0,انا فاروق,,
"2024-08-13,09:21:37",jovial_flamingo_95831,#0,امين فاروق هه,,
"2024-08-13,09:22:47",jovial_flamingo_95831,#0,17,,
"2024-08-13,09:23:58",jovial_flamingo_95831,#0,علاه واش كاين,,
"2024-08-13,09:24:46",jovial_flamingo_95831,#0,واش قلولك,,
"2024-08-13,09:25:34",themask0239,#0,<@1158860326289297458> حبحب وش كاين شكون لي دار بيك,ak_miro#0,
"2024-08-13,09:25:48",vv_sr7,#0,,,https://cdn.discordapp.com/attachments/1227367017661595708/1272833475027664928/20240813_085540.jpg?ex=672dcb0c&is=672c798c&hm=52f8ca0f7acbed13cf9c422313cfca19904a32b795b3119d80cb4f259ef02062&
"2024-08-13,09:26:15",themask0239,#0,,vv_sr7#0,https://cdn.discordapp.com/attachments/1227367017661595708/1272833589372911616/e8fd43a9c9838f886ff46f945316697c.jpg?ex=672dcb27&is=672c79a7&hm=16cf2040cc94fe28daca606b494c830cc49d55585be9781fa7f7db6a552008b1&
"2024-08-13,09:26:22",jovial_flamingo_95831,#0,صح في بوقلاب,vv_sr7#0,
"2024-08-13,09:26:35",jovial_flamingo_95831,#0,ههههه,,
"2024-08-13,09:26:40",vv_sr7,#0,,themask0239#0,https://cdn.discordapp.com/attachments/1227367017661595708/1272833691478921216/20240813_085700.jpg?ex=672dcb40&is=672c79c0&hm=fb33a6eeb3bc4aea3753b582a5971f88b0ae029a65f3cab5dcd1b32b532807e3&
"2024-08-13,09:26:53",vv_sr7,#0,😂,,
"2024-08-13,09:27:10",vv_sr7,#0,,,https://cdn.discordapp.com/attachments/1227367017661595708/1272833818293964906/20240813_085445.jpg?ex=672dcb5e&is=672c79de&hm=308e795cc860aad88d051929f401dccb511903bb0149d2b48c1988ec331d8293&
"2024-08-13,09:27:13",jovial_flamingo_95831,#0,متسبش ديانه سماوية,vv_sr7#0,
"2024-08-13,09:27:43",vv_sr7,#0,قسنطينة ديانة سماوية 😱🥶💢💢💥,jovial_flamingo_95831#0,
"2024-08-13,09:27:47",themask0239,#0,<@1183808376375873557> نن روح تقود,vv_sr7#0,
"2024-08-13,09:28:05",vv_sr7,#0,,themask0239#0,https://cdn.discordapp.com/attachments/1227367017661595708/1272834048234094684/20240813_085649.jpg?ex=672dcb95&is=672c7a15&hm=74115a29364f1e295fa8b1555c1eb3de38fb8b25d6af6994eb9793c777ea7caf&
"2024-08-13,09:28:07",themask0239,#0,قسنطيني وأفتخر,vv_sr7#0,https://cdn.discordapp.com/attachments/1227367017661595708/1272834056702263318/Picsart_24-08-09_13-19-41-605.png?ex=672dcb97&is=672c7a17&hm=ead3baebb447d0bfdcd5c8bddd5e8946ac2d72b243bb35ff87ed57a57180b2a6&
"2024-08-13,09:28:23",vv_sr7,#0,,,https://cdn.discordapp.com/attachments/1227367017661595708/1272834123764858980/20240813_085630.jpg?ex=672dcba7&is=672c7a27&hm=0d51a7240dbc0f361035785b1865acc851dfdd44ab2a28dcba56534dc3c43435&
"2024-08-13,09:28:25",themask0239,#0,هات ماعندك,vv_sr7#0,
"2024-08-13,09:28:26",jovial_flamingo_95831,#0,جلفة,vv_sr7#0,
"2024-08-13,09:28:40",themask0239,#0,تحتك,ak_miro#0,
"2024-08-13,09:28:43",themask0239,#0,😍,,
"2024-08-13,09:28:51",vv_sr7,#0,,ak_miro#0,https://cdn.discordapp.com/attachments/1227367017661595708/1272834240685277259/hq2.jpg?ex=672dcbc3&is=672c7a43&hm=87212777e6a012fea7e8bdcf304d1a1e46a2413de3914bffaf1feeb39f704403&
"2024-08-13,09:28:55",themask0239,#0,صح,vv_sr7#0,
"2024-08-13,09:29:06",themask0239,#0,راني جاي 🥰,vv_sr7#0,
"2024-08-13,09:29:10",jovial_flamingo_95831,#0,bhle.9 ابوني,,
"2024-08-13,09:29:20",jovial_flamingo_95831,#0,انستغرام,,
"2024-08-13,09:29:35",vv_sr7,#0,,jovial_flamingo_95831#0,https://cdn.discordapp.com/attachments/1227367017661595708/1272834427340328971/20240813_085411.jpg?ex=672dcbef&is=672c7a6f&hm=5c70312fefb67acc240f2a5f17ffd709ecb4e1d0de975da53ef89c7f43a30ad5&
"2024-08-13,09:30:17",vv_sr7,#0,من أقوال خاميئني,,
"2024-08-13,09:30:21",jovial_flamingo_95831,#0,شكون يعرف صوفيا,,
"2024-08-13,09:30:23",vv_sr7,#0,😂,,
"2024-08-13,09:31:40",jovial_flamingo_95831,#0,خوتي جامي شفت درك ويب كيما قروب فايسبوك,,
"2024-08-13,09:32:39",jovial_flamingo_95831,#0,وراكم,,
"2024-08-13,09:33:16",vv_sr7,#0,<@1191354977193570356> vc now,themask0239#0,
"2024-08-13,09:34:09",jovial_flamingo_95831,#0,/بينا حمر,,
"2024-08-13,09:34:14",vv_sr7,#0,<:emoji_106:1191547968151617626>,ak_miro#0,
"2024-08-13,09:35:11",jovial_flamingo_95831,#0,مكانش اعادة سوئل,,
"2024-08-13,09:35:26",jovial_flamingo_95831,#0,ازرق,,
"2024-08-13,09:35:48",jovial_flamingo_95831,#0,مكنش فرص اخير,,
"2024-08-13,09:36:15",vv_sr7,#0,دخله,,
"2024-08-13,09:36:16",mk_diassss,#0,<@1183808376375873557> <:KEKYou:1150418200027201566>,vv_sr7#0,
"2024-08-13,09:36:20",jovial_flamingo_95831,#0,<:picardiacrying2:1152016067649081394>,,
"2024-08-13,09:36:55",jovial_flamingo_95831,#0,خوتي نعلمكم كيفاش تخشو درك ويب,,
"2024-08-13,09:37:10",vv_sr7,#0,نتا رخيس مسمي روحك عليه باش بوت يمحي سبام,mk_diassss#0,
"2024-08-13,09:37:25",jovial_flamingo_95831,#0,تع صح,ak_miro#0,
"2024-08-13,09:37:32",jovial_flamingo_95831,#0,مشي هذا,,
"2024-08-13,09:37:49",mk_diassss,#0,لازم تكون هارب,vv_sr7#0,
"2024-08-13,09:38:14",jovial_flamingo_95831,#0,دخلة ليه في سيبار,,
"2024-08-13,09:38:21",themask0239,#0,<@1183808376375873557> نن,vv_sr7#0,https://cdn.discordapp.com/attachments/1227367017661595708/1272836633309478922/Picsart_24-08-13_09-37-51-140.jpg?ex=672dcdfd&is=672c7c7d&hm=8a7ef0536fd473e5eecdaf403fe445cdeb6d04fd66a7bdfe2b949d2ef3cb429e&
"2024-08-13,09:38:23",__au3x,#0,صباح الخير,,
"2024-08-13,09:38:33",yanabbbb,#0,صباح الشر mother fuck,,
"2024-08-13,09:38:36",mk_diassss,#0,<:cum:1152013788653031434>,themask0239#0,
"2024-08-13,09:38:41",themask0239,#0,صباح نور,__au3x#0,
"2024-08-13,09:38:49",vv_sr7,#0,طيز يماه شي بوت  😂,mk_diassss#0,
"2024-08-13,09:38:51",__au3x,#0,كيراكم,themask0239#0,
"2024-08-13,09:39:02",jovial_flamingo_95831,#0,صباح زك ويسمين,yanabbbb#0,
"2024-08-13,09:39:07",mk_diassss,#0,لباس حمدالله,__au3x#0,
"2024-08-13,09:39:12",themask0239,#0,نن نتا كونديا و أنا إيفروي منتلاقوش,mk_diassss#0,
"2024-08-13,09:39:19",__au3x,#0,الحمد لله,mk_diassss#0,
"2024-08-13,09:39:19",themask0239,#0,حمدلله,__au3x#0,
"2024-08-13,09:39:29",__au3x,#0,حمدلله,themask0239#0,
"2024-08-13,09:39:49",mk_diassss,#0,ملا ندير ديالي,themask0239#0,
"2024-08-13,09:39:55",jovial_flamingo_95831,#0,كاين حليب خير منه,themask0239#0,
"2024-08-13,09:40:05",themask0239,#0,نن لزم إيفروي,mk_diassss#0,
"2024-08-13,09:40:13",vv_sr7,#0,أرواح ل vc,themask0239#0,
"2024-08-13,09:40:20",themask0239,#0,منضنش عمري 🥰,jovial_flamingo_95831#0,
"2024-08-13,09:40:29",mk_diassss,#0,كونديا شغول black dick,themask0239#0,
"2024-08-13,09:40:43",themask0239,#0,هيه,vv_sr7#0,
"2024-08-13,09:40:58",vv_sr7,#0,تقدر ديره في بلاصته,mk_diassss#0,
"2024-08-13,09:41:07",mk_diassss,#0,درك ندير,vv_sr7#0,
"2024-08-13,09:41:16",jovial_flamingo_95831,#0,عمري,themask0239#0,
"2024-08-13,09:41:23",jovial_flamingo_95831,#0,؟؟؟,,
"2024-08-13,09:41:25",themask0239,#0,<@1183808376375873557>  منقدرش نهدر تع دار,vv_sr7#0,
"2024-08-13,09:41:31",themask0239,#0,وي,jovial_flamingo_95831#0,
"2024-08-13,09:41:53",jovial_flamingo_95831,#0,شحال عمرك نتي,themask0239#0,
"2024-08-13,09:41:53",__au3x,#0,هاك مسو 🍆,,
"2024-08-13,09:41:54",themask0239,#0,<@1183808376375873557>  أصبر طراش,vv_sr7#0,
"2024-08-13,09:42:02",themask0239,#0,💀,jovial_flamingo_95831#0,
"2024-08-13,09:42:21",vv_sr7,#0,,,https://cdn.discordapp.com/attachments/1227367017661595708/1272837639720144910/20240813_085720.jpg?ex=672dceed&is=672c7d6d&hm=010ad7dfe46382449fdfced9d1d195e0e2aca2d9168162237eabce418ee6fd88&
"2024-08-13,09:42:42",themask0239,#0,دقيقة,vv_sr7#0,
"2024-08-13,09:42:45",jovial_flamingo_95831,#0,واا جلفه,,
"2024-08-13,09:42:54",jovial_flamingo_95831,#0,<:picardiacrying2:1152016067649081394>,,
"2024-08-13,09:42:59",themask0239,#0,<@1183808376375873557>  مبعد خير ملقيتش كيتمان,vv_sr7#0,
"2024-08-13,09:43:16",jovial_flamingo_95831,#0,عندي كيتمان,themask0239#0,
"2024-08-13,09:43:18",themask0239,#0,❤️,vv_sr7#0,
"2024-08-13,09:43:19",vv_sr7,#0,خليتني حتى خرجت,themask0239#0,
"2024-08-13,09:43:31",vv_sr7,#0,صاحا,themask0239#0,
"2024-08-13,09:43:41",themask0239,#0,المهم عندك تع تشغيل الشباب في قسنطينة ؟,vv_sr7#0,
"2024-08-13,09:44:01",vv_sr7,#0,لا لا,themask0239#0,
"2024-08-13,09:44:22",vv_sr7,#0,,,https://cdn.discordapp.com/attachments/1227367017661595708/1272838146572161024/20240813_085737.jpg?ex=672dcf66&is=672c7de6&hm=48ccb8380dcba41dff90f71da0d50ca355cb1481cac4bf667c5572df5082de6e&
"2024-08-13,09:44:40",themask0239,#0,أي حاجة على قسنطينة ؟,vv_sr7#0,
"2024-08-13,09:45:28",jovial_flamingo_95831,#0,اعبدوها قسنطينة,themask0239#0,
